"","year","county","county_medianinc"
"1",2011,"Alameda",70821
"2",2011,"Alpine",59018
"3",2011,"Amador",56180
"4",2011,"Butte",42971
"5",2011,"Calaveras",55256
"6",2011,"Colusa",49558
"7",2011,"Contra Costa",79135
"8",2011,"Del Norte",37588
"9",2011,"El Dorado",68815
"10",2011,"Fresno",46903
"11",2011,"Glenn",43239
"12",2011,"Humboldt",40376
"13",2011,"Imperial",39402
"14",2011,"Inyo",49571
"15",2011,"Kern",48021
"16",2011,"Kings",48838
"17",2011,"Lake",39525
"18",2011,"Lassen",52484
"19",2011,"Los Angeles",56266
"20",2011,"Madera",47724
"21",2011,"Marin",89605
"22",2011,"Mariposa",49174
"23",2011,"Mendocino",44527
"24",2011,"Merced",43945
"25",2011,"Modoc",35402
"26",2011,"Mono",60469
"27",2011,"Monterey",59737
"28",2011,"Napa",68641
"29",2011,"Nevada",58077
"30",2011,"Orange",75762
"31",2011,"Placer",74645
"32",2011,"Plumas",44151
"33",2011,"Riverside",58365
"34",2011,"Sacramento",56553
"35",2011,"San Benito",65570
"36",2011,"San Bernardino",55853
"37",2011,"San Diego",63857
"38",2011,"San Francisco",72947
"39",2011,"San Joaquin",53764
"40",2011,"San Luis Obispo",58630
"41",2011,"San Mateo",87633
"42",2011,"Santa Barbara",61896
"43",2011,"Santa Clara",89064
"44",2011,"Santa Cruz",66030
"45",2011,"Shasta",44058
"46",2011,"Sierra",50308
"47",2011,"Siskiyou",37865
"48",2011,"Solano",69914
"49",2011,"Sonoma",64343
"50",2011,"Stanislaus",50671
"51",2011,"Sutter",50010
"52",2011,"Tehama",38753
"53",2011,"Trinity",37672
"54",2011,"Tulare",43550
"55",2011,"Tuolumne",47359
"56",2011,"Ventura",76728
"57",2011,"Yolo",57920
"58",2011,"Yuba",46617
"59",2012,"Alameda",71516
"60",2012,"Alpine",59931
"61",2012,"Amador",53462
"62",2012,"Butte",43339
"63",2012,"Calaveras",54686
"64",2012,"Colusa",52165
"65",2012,"Contra Costa",78187
"66",2012,"Del Norte",39626
"67",2012,"El Dorado",70117
"68",2012,"Fresno",45741
"69",2012,"Glenn",42641
"70",2012,"Humboldt",40830
"71",2012,"Imperial",41255
"72",2012,"Inyo",45000
"73",2012,"Kern",47727
"74",2012,"Kings",48761
"75",2012,"Lake",38147
"76",2012,"Lassen",51921
"77",2012,"Los Angeles",56241
"78",2012,"Madera",47937
"79",2012,"Marin",90962
"80",2012,"Mariposa",52584
"81",2012,"Mendocino",43721
"82",2012,"Merced",43565
"83",2012,"Modoc",37482
"84",2012,"Mono",61868
"85",2012,"Monterey",60143
"86",2012,"Napa",69571
"87",2012,"Nevada",57382
"88",2012,"Orange",75566
"89",2012,"Placer",73356
"90",2012,"Plumas",45358
"91",2012,"Riverside",57096
"92",2012,"Sacramento",55846
"93",2012,"San Benito",63939
"94",2012,"San Bernardino",54750
"95",2012,"San Diego",63373
"96",2012,"San Francisco",73802
"97",2012,"San Joaquin",53895
"98",2012,"San Luis Obispo",59628
"99",2012,"San Mateo",87751
"100",2012,"Santa Barbara",62723
"101",2012,"Santa Clara",90747
"102",2012,"Santa Cruz",66571
"103",2012,"Shasta",44396
"104",2012,"Sierra",42500
"105",2012,"Siskiyou",37948
"106",2012,"Solano",69006
"107",2012,"Sonoma",63565
"108",2012,"Stanislaus",49866
"109",2012,"Sutter",50510
"110",2012,"Tehama",40307
"111",2012,"Trinity",36569
"112",2012,"Tulare",43803
"113",2012,"Tuolumne",48169
"114",2012,"Ventura",76483
"115",2012,"Yolo",57260
"116",2012,"Yuba",46641
"117",2013,"Alameda",72112
"118",2013,"Alpine",58636
"119",2013,"Amador",53684
"120",2013,"Butte",43752
"121",2013,"Calaveras",55295
"122",2013,"Colusa",52158
"123",2013,"Contra Costa",78756
"124",2013,"Del Norte",37909
"125",2013,"El Dorado",69297
"126",2013,"Fresno",45563
"127",2013,"Glenn",43023
"128",2013,"Humboldt",41426
"129",2013,"Imperial",41807
"130",2013,"Inyo",44796
"131",2013,"Kern",48552
"132",2013,"Kings",48133
"133",2013,"Lake",36548
"134",2013,"Lassen",53107
"135",2013,"Los Angeles",55909
"136",2013,"Madera",45625
"137",2013,"Marin",90839
"138",2013,"Mariposa",49820
"139",2013,"Mendocino",43469
"140",2013,"Merced",42591
"141",2013,"Modoc",36212
"142",2013,"Mono",61757
"143",2013,"Monterey",59168
"144",2013,"Napa",70443
"145",2013,"Nevada",57353
"146",2013,"Orange",75422
"147",2013,"Placer",72725
"148",2013,"Plumas",45794
"149",2013,"Riverside",56529
"150",2013,"Sacramento",55064
"151",2013,"San Benito",66237
"152",2013,"San Bernardino",54090
"153",2013,"San Diego",62962
"154",2013,"San Francisco",75604
"155",2013,"San Joaquin",53380
"156",2013,"San Luis Obispo",58697
"157",2013,"San Mateo",88202
"158",2013,"Santa Barbara",62779
"159",2013,"Santa Clara",91702
"160",2013,"Santa Cruz",66519
"161",2013,"Shasta",44651
"162",2013,"Sierra",39009
"163",2013,"Siskiyou",37709
"164",2013,"Solano",67177
"165",2013,"Sonoma",63356
"166",2013,"Stanislaus",49297
"167",2013,"Sutter",50408
"168",2013,"Tehama",41924
"169",2013,"Trinity",36890
"170",2013,"Tulare",42708
"171",2013,"Tuolumne",48426
"172",2013,"Ventura",76544
"173",2013,"Yolo",55918
"174",2013,"Yuba",44902
"175",2014,"Alameda",73775
"176",2014,"Alpine",61343
"177",2014,"Amador",52964
"178",2014,"Butte",43165
"179",2014,"Calaveras",54936
"180",2014,"Colusa",50503
"181",2014,"Contra Costa",79799
"182",2014,"Del Norte",39302
"183",2014,"El Dorado",68507
"184",2014,"Fresno",45201
"185",2014,"Glenn",40106
"186",2014,"Humboldt",42153
"187",2014,"Imperial",41772
"188",2014,"Inyo",45625
"189",2014,"Kern",48574
"190",2014,"Kings",47341
"191",2014,"Lake",35997
"192",2014,"Lassen",53351
"193",2014,"Los Angeles",55870
"194",2014,"Madera",45490
"195",2014,"Marin",91529
"196",2014,"Mariposa",50560
"197",2014,"Mendocino",43290
"198",2014,"Merced",43066
"199",2014,"Modoc",38560
"200",2014,"Mono",61814
"201",2014,"Monterey",58582
"202",2014,"Napa",70925
"203",2014,"Nevada",56949
"204",2014,"Orange",75998
"205",2014,"Placer",73747
"206",2014,"Plumas",48032
"207",2014,"Riverside",56592
"208",2014,"Sacramento",55615
"209",2014,"San Benito",67874
"210",2014,"San Bernardino",54100
"211",2014,"San Diego",63996
"212",2014,"San Francisco",78378
"213",2014,"San Joaquin",53253
"214",2014,"San Luis Obispo",59454
"215",2014,"San Mateo",91421
"216",2014,"Santa Barbara",63409
"217",2014,"Santa Clara",93854
"218",2014,"Santa Cruz",66923
"219",2014,"Shasta",44556
"220",2014,"Sierra",43107
"221",2014,"Siskiyou",37495
"222",2014,"Solano",67341
"223",2014,"Sonoma",63799
"224",2014,"Stanislaus",49573
"225",2014,"Sutter",51527
"226",2014,"Tehama",42369
"227",2014,"Trinity",36862
"228",2014,"Tulare",42863
"229",2014,"Tuolumne",48493
"230",2014,"Ventura",77335
"231",2014,"Yolo",55508
"232",2014,"Yuba",45470
"233",2015,"Alameda",75619
"234",2015,"Alpine",52917
"235",2015,"Amador",54171
"236",2015,"Butte",43444
"237",2015,"Calaveras",53233
"238",2015,"Colusa",52168
"239",2015,"Contra Costa",80185
"240",2015,"Del Norte",40847
"241",2015,"El Dorado",69584
"242",2015,"Fresno",45233
"243",2015,"Glenn",39349
"244",2015,"Humboldt",42197
"245",2015,"Imperial",41079
"246",2015,"Inyo",45955
"247",2015,"Kern",49026
"248",2015,"Kings",46481
"249",2015,"Lake",35578
"250",2015,"Lassen",51555
"251",2015,"Los Angeles",56196
"252",2015,"Madera",45073
"253",2015,"Marin",93257
"254",2015,"Mariposa",47681
"255",2015,"Mendocino",42980
"256",2015,"Merced",42462
"257",2015,"Modoc",37860
"258",2015,"Mono",56944
"259",2015,"Monterey",58783
"260",2015,"Napa",71379
"261",2015,"Nevada",56521
"262",2015,"Orange",76509
"263",2015,"Placer",73948
"264",2015,"Plumas",47333
"265",2015,"Riverside",56603
"266",2015,"Sacramento",55987
"267",2015,"San Benito",71077
"268",2015,"San Bernardino",53433
"269",2015,"San Diego",64309
"270",2015,"San Francisco",81294
"271",2015,"San Joaquin",53274
"272",2015,"San Luis Obispo",60691
"273",2015,"San Mateo",93623
"274",2015,"Santa Barbara",63985
"275",2015,"Santa Clara",96310
"276",2015,"Santa Cruz",67256
"277",2015,"Shasta",44620
"278",2015,"Sierra",42833
"279",2015,"Siskiyou",37170
"280",2015,"Solano",66828
"281",2015,"Sonoma",64240
"282",2015,"Stanislaus",50125
"283",2015,"Sutter",52017
"284",2015,"Tehama",41001
"285",2015,"Trinity",34974
"286",2015,"Tulare",42031
"287",2015,"Tuolumne",50306
"288",2015,"Ventura",77348
"289",2015,"Yolo",54989
"290",2015,"Yuba",46892
"291",2016,"Alameda",79831
"292",2016,"Alpine",62375
"293",2016,"Amador",57032
"294",2016,"Butte",44366
"295",2016,"Calaveras",53502
"296",2016,"Colusa",54946
"297",2016,"Contra Costa",82881
"298",2016,"Del Norte",42363
"299",2016,"El Dorado",72586
"300",2016,"Fresno",45963
"301",2016,"Glenn",41699
"302",2016,"Humboldt",42685
"303",2016,"Imperial",42560
"304",2016,"Inyo",47278
"305",2016,"Kern",49788
"306",2016,"Kings",47241
"307",2016,"Lake",36132
"308",2016,"Lassen",51457
"309",2016,"Los Angeles",57952
"310",2016,"Madera",45742
"311",2016,"Marin",100310
"312",2016,"Mariposa",49265
"313",2016,"Mendocino",43510
"314",2016,"Merced",44397
"315",2016,"Modoc",41194
"316",2016,"Mono",58937
"317",2016,"Monterey",60889
"318",2016,"Napa",74609
"319",2016,"Nevada",57429
"320",2016,"Orange",78145
"321",2016,"Placer",76926
"322",2016,"Plumas",50125
"323",2016,"Riverside",57972
"324",2016,"Sacramento",57509
"325",2016,"San Benito",73814
"326",2016,"San Bernardino",54469
"327",2016,"San Diego",66529
"328",2016,"San Francisco",87701
"329",2016,"San Joaquin",55045
"330",2016,"San Luis Obispo",64014
"331",2016,"San Mateo",98546
"332",2016,"Santa Barbara",65161
"333",2016,"Santa Clara",101173
"334",2016,"Santa Cruz",70088
"335",2016,"Shasta",45582
"336",2016,"Sierra",43984
"337",2016,"Siskiyou",38524
"338",2016,"Solano",69227
"339",2016,"Sonoma",66833
"340",2016,"Stanislaus",51591
"341",2016,"Sutter",52943
"342",2016,"Tehama",40687
"343",2016,"Trinity",35270
"344",2016,"Tulare",42789
"345",2016,"Tuolumne",50731
"346",2016,"Ventura",78593
"347",2016,"Yolo",57663
"348",2016,"Yuba",48739
"349",2017,"Alameda",85743
"350",2017,"Alpine",63438
"351",2017,"Amador",60636
"352",2017,"Butte",46516
"353",2017,"Calaveras",54800
"354",2017,"Colusa",56481
"355",2017,"Contra Costa",88456
"356",2017,"Del Norte",41287
"357",2017,"El Dorado",74885
"358",2017,"Fresno",48730
"359",2017,"Glenn",46260
"360",2017,"Humboldt",43718
"361",2017,"Imperial",44779
"362",2017,"Inyo",51500
"363",2017,"Kern",50826
"364",2017,"Kings",49742
"365",2017,"Lake",40446
"366",2017,"Lassen",54083
"367",2017,"Los Angeles",61015
"368",2017,"Madera",48210
"369",2017,"Marin",104703
"370",2017,"Mariposa",51385
"371",2017,"Mendocino",46528
"372",2017,"Merced",46338
"373",2017,"Modoc",39296
"374",2017,"Mono",60595
"375",2017,"Monterey",63249
"376",2017,"Napa",79637
"377",2017,"Nevada",60610
"378",2017,"Orange",81851
"379",2017,"Placer",80488
"380",2017,"Plumas",50266
"381",2017,"Riverside",60807
"382",2017,"Sacramento",60239
"383",2017,"San Benito",80760
"384",2017,"San Bernardino",57156
"385",2017,"San Diego",70588
"386",2017,"San Francisco",96265
"387",2017,"San Joaquin",57813
"388",2017,"San Luis Obispo",67175
"389",2017,"San Mateo",105667
"390",2017,"Santa Barbara",68023
"391",2017,"Santa Clara",106761
"392",2017,"Santa Cruz",73663
"393",2017,"Shasta",47258
"394",2017,"Sierra",44190
"395",2017,"Siskiyou",40884
"396",2017,"Solano",72950
"397",2017,"Sonoma",71769
"398",2017,"Stanislaus",54260
"399",2017,"Sutter",54347
"400",2017,"Tehama",42512
"401",2017,"Trinity",36563
"402",2017,"Tulare",44871
"403",2017,"Tuolumne",54325
"404",2017,"Ventura",81972
"405",2017,"Yolo",61621
"406",2017,"Yuba",51776
"407",2018,"Alameda",92574
"408",2018,"Alpine",64688
"409",2018,"Amador",61198
"410",2018,"Butte",48443
"411",2018,"Calaveras",58151
"412",2018,"Colusa",56704
"413",2018,"Contra Costa",93712
