"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","ed_LThighschool","ed_college","year","county","county_medianinc","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate"
"1",1494876,733297,517548,332103,36.4,186326,391627,113945,173156,27989,25930,21404,22506,19747,20179,18842,19142,18527,37170,49869,66324,53837,38100,47155,49439,103727,363477,2011,"Alameda",70821,34.6214669310364,22.2160901640002,26.1979588942494,12.464311421148,49.0540352510844,7.62237135387818,12.2832924391561,43.0427399414534,11.5833018925984
"2",1167,605,765,82,40.4,0,39,12,170,16,11,16,20,15,23,7,20,18,38,43,14,39,34,25,18,33,176,2011,"Alpine",59018,65.5526992287918,7.02656383890317,3.34190231362468,0,51.8423307626392,1.02827763496144,5.68965517241379,30.3448275862069,14.5672664952871
"3",38244,20860,30589,4677,48,870,529,536,3372,658,622,872,652,807,670,634,736,661,1209,1386,2115,1161,910,814,376,2575,3868,2011,"Amador",56180,79.9837883066625,12.2293693128334,1.38322351218492,2.27486664574835,54.5445037130007,1.40152703692082,12.0597602098164,18.1153990258524,8.81706934421086
"4",219309,108441,165531,30476,37.2,3353,9240,7692,42283,6280,6501,5755,6357,5613,4888,4656,4163,3656,7368,7871,9391,5767,2537,2802,1614,13331,26442,2011,"Butte",42971,75.4784345375703,13.8963745217935,4.2132333830349,1.52889302308615,49.4466711352475,3.50737999808489,12.5581702055504,24.9090943346459,19.2801025037732
"5",45794,22861,38272,4688,49,496,601,632,3751,966,1091,916,933,1073,774,883,1083,757,1486,2027,2637,1854,1016,871,498,1554,4995,2011,"Calaveras",55256,83.5742673712713,10.237148971481,1.31239900423636,1.08311132462768,49.921387081277,1.38009346202559,6.40164778578785,20.5767250257467,8.19102939249683
"6",21297,10990,8735,11460,33.5,203,252,4506,3029,295,558,355,452,438,443,350,322,311,708,670,875,565,251,215,181,3082,1370,2011,"Colusa",49558,41.0151664553693,53.8103958303986,1.18326524862657,0.953185894726957,51.6035122317697,21.1579095647274,29.3719622605547,13.0563232631278,14.2226604686106
"7",1037817,506600,503705,248089,38.3,94782,147948,78185,101562,14639,14083,12576,11956,13405,13314,12938,13021,12230,25111,34103,47280,40210,28718,36131,41210,60809,222470,2011,"Contra Costa",79135,48.5350500136344,23.9048888195125,14.2556924775755,9.13282399498177,48.8140009269457,7.5336017814316,10.7652270896586,39.3846317261647,9.78611836190773
"8",28561,15688,18704,5003,38.9,937,891,685,5313,709,1176,743,756,569,733,388,349,427,730,1122,953,591,271,107,194,3176,2119,2011,"Del Norte",37588,65.4879030846259,17.5168936661882,3.11963866811386,3.28069745457092,54.9280487377893,2.39837540702356,20.3550599243735,13.5807216560918,18.6022898357901
"9",179878,90056,144557,21222,43.1,1367,6260,5397,15010,2612,2233,2311,2824,2816,3382,2559,2673,3012,5589,7069,9628,7179,4721,5411,4793,6378,31717,2011,"El Dorado",68815,80.3639133190273,11.7979964197956,3.48013653698618,0.759959528124618,50.0650440854357,3.00036691535374,6.40741001195487,31.8632523281864,8.34454463580871
"10",920623,460116,306388,458069,30.6,46522,87275,126315,211140,20513,20506,18278,19007,15508,16365,13988,13700,12270,22434,27124,32579,20656,12872,10880,8658,116049,88592,2011,"Fresno",46903,33.2805067872517,49.7564149494418,9.47999343922539,5.05331715588248,49.9787643802077,13.7206000719078,26.0104490959582,19.856420187241,22.9344693756293
"11",28027,14128,15841,10270,35.3,261,645,3462,5166,502,823,680,803,673,482,494,512,438,752,898,1120,543,282,174,307,3479,2183,2011,"Glenn",43239,56.5204980911264,36.6432368787241,2.30135226745638,0.931244871017233,50.4085346273237,12.3523744960217,25.0973885442216,15.7480882989468,18.4322260677204
"12",133585,66897,103777,12771,37.3,1590,3131,2903,23833,4479,4626,3930,3637,3279,3474,3222,2595,2332,4263,5230,5534,3182,1401,1335,1205,5913,19621,2011,"Humboldt",40376,77.6861174533069,9.5602051128495,2.34382602837145,1.1902533967137,50.0782273458846,2.17314818280496,8.23480259034886,27.3253951674674,17.8410749709923
"13",171343,88485,24364,136376,31.8,5985,2757,49031,37463,4392,4706,4098,3217,3020,2826,2059,1965,1858,3668,4184,4929,3144,1705,1446,900,26481,11803,2011,"Imperial",39402,14.219431199407,79.5923965379385,1.6090531857152,3.49299358596499,51.6420279789662,28.6157006705847,31.4624496536647,14.0233107987691,21.864330611697
"14",18457,9329,12307,3445,45.1,204,271,707,2127,390,581,598,520,559,427,315,355,228,624,722,1010,805,272,407,97,975,2316,2011,"Inyo",49571,66.6793086633797,18.6650051470987,1.46827761824782,1.10527171262935,50.5445088584277,3.8305250040635,9.93276283618582,23.5941320293399,11.5240830037384
"15",829254,428053,325055,402444,30.6,47008,33179,121176,169635,17314,18257,15051,14899,15182,12820,12993,12730,10349,20678,24807,29349,19175,10693,9962,6740,116141,59274,2011,"Kern",48021,39.1984844209374,48.5308482081485,4.00106601837314,5.66870946658081,51.6190455517851,14.6126518533525,28.2470856914931,14.4162505685121,20.4563378651173
"16",152335,86391,54952,76401,31,10988,5751,25562,26042,2565,2259,2447,2283,2642,2305,2442,1901,1876,3523,4452,4345,3396,1855,1703,722,22689,10129,2011,"Kings",48838,36.0731283027538,50.1532805986805,3.77523221846588,7.21305018544655,56.7111957199593,16.7801227557685,28.2852334351431,12.6273140933741,17.0952177766108
"17",64392,32458,47937,10784,44.3,1440,727,3081,13543,1893,2280,2105,1984,1543,1655,1503,1257,1440,1932,2168,2102,1728,975,623,466,4005,5596,2011,"Lake",39525,74.4455833022736,16.747422040005,1.12902223878743,2.23630264629147,50.4068828425891,4.78475587029445,11.5734720416125,16.1710735442855,21.0321157907815
"18",35001,22985,23314,6075,37,3048,464,1480,3562,605,710,597,579,312,412,643,416,538,678,1330,1580,724,528,214,231,4431,2604,2011,"Lassen",52484,66.6095254421302,17.3566469529442,1.32567640924545,8.70832261935373,65.6695522985058,4.2284506156967,20.5281445448228,12.0639332870049,10.1768520899403
"19",9787747,4826636,2749159,4644328,34.6,844048,1347782,1714130,1566066,196705,188853,169906,163499,157603,154617,145814,141422,125011,246548,313816,385543,269042,170079,186110,203950,1194696,1594347,2011,"Los Angeles",56266,28.0877611568832,47.4504296034624,13.7700943843358,8.62351672964166,49.313044156127,17.5130190839628,22.6727175526364,30.2572195871529,16.0002705423424
"20",149611,72056,58157,79037,33.2,4962,2980,24536,27777,2178,2487,2433,2918,2442,2862,2155,2420,1913,4026,4272,4400,3388,1802,1226,1110,24324,10238,2011,"Madera",47724,38.8721417542828,52.8283348149535,1.99183215137924,3.31660105206168,48.1622340603298,16.3998636463896,32.6764196187482,13.7535431695751,18.5661482110273
"21",250666,123455,184503,37344,44.3,7481,13992,15363,17502,3521,3512,3119,3402,2886,3887,3035,3706,2963,5948,8371,12031,10913,7517,10118,17903,12092,78780,2011,"Marin",89605,73.6051159710531,14.8979119625318,5.58192973917484,2.9844494267272,49.2507958797763,6.12887268317203,8.4385358875048,54.9774939809484,6.98219942074314
"22",18290,9259,15209,1727,48.4,180,200,424,2611,616,507,456,535,368,303,377,334,361,474,714,1172,694,326,205,165,1005,2047,2011,"Mariposa",49174,83.1547293603062,9.44231820667031,1.09349371241115,0.984144341170038,50.6232914160744,2.31820667031165,9.93475682087782,20.2352708580467,14.2755604155276
"23",87525,43956,60561,18964,41.4,949,1554,7088,15298,2181,2842,2231,2505,2114,1956,1651,1748,1505,3288,3330,3545,2378,1081,1074,673,7721,9687,2011,"Mendocino",44527,69.1928020565553,21.666952299343,1.77549271636675,1.08426163953156,50.2210796915167,8.09825764067409,16.3355548503121,20.4950809266899,17.4784347329334
"24",253606,127671,82235,137974,29.5,9837,18904,45251,57461,5427,5618,4975,4959,5265,4476,3576,3407,3465,6259,7412,7794,5120,2323,1977,2026,38203,14936,2011,"Merced",43945,32.4262832898275,54.4048642382278,7.45408231666443,3.87885144673233,50.3422631956657,17.8430321049187,31.8975018368846,12.4707768352147,22.6575869656081
"25",9587,4822,7570,1290,46.5,108,73,500,1816,300,364,298,553,194,228,283,166,188,228,217,469,279,90,28,62,813,870,2011,"Modoc",35402,78.9610931469699,13.4557212892459,0.761447793887556,1.1265255032857,50.2972775633671,5.2153958485449,16.0102402520677,17.1327294210319,18.9423177219151
"26",14016,7554,9623,3613,36.5,180,78,1242,1554,249,296,163,320,274,319,271,314,176,311,640,1075,345,376,177,110,1122,2618,2011,"Mono",60469,68.6572488584475,25.7776826484018,0.556506849315068,1.28424657534247,53.8955479452055,8.86130136986301,13.5115606936416,31.5269749518304,11.0873287671233
"27",411385,211665,138147,224435,32.8,12848,25419,97064,59315,5384,5461,5888,6068,6475,5747,5556,6081,5216,10977,13580,16372,11243,7463,6912,6794,64200,46441,2011,"Monterey",59737,33.5809521494464,54.5559512378915,6.1788835275958,3.12310852364573,51.4518030555319,23.5944431615154,30.3283683621264,21.938936995413,14.4183672229177
"28",135377,67452,77582,42603,39.5,2710,9209,17810,12906,1547,2132,1897,2137,1889,2096,2478,2039,2051,3567,5187,6082,5233,3232,3714,4359,12968,21894,2011,"Napa",68641,57.3081099448208,31.469895181604,6.8024849125036,2.0018171476691,49.8253026732754,13.1558536531316,18.1246418538344,30.6000083858614,9.53337716155625
"29",98392,48867,85453,8185,47.3,522,1370,1887,10072,2105,2325,1933,2110,2118,1720,1830,1855,1951,3385,4483,5823,3845,2141,2094,1843,2431,17325,2011,"Nevada",58077,86.849540613058,8.31876575331328,1.39238962517278,0.530530937474591,49.6656232214001,1.91783884868689,4.53155873690489,32.2950452969467,10.2366046020002
"30",2989948,1479611,1339135,994279,36,49513,532499,367687,320473,38785,32854,33259,36128,36488,36093,36561,37612,35070,70558,95390,133367,106162,73758,87624,97455,260637,601127,2011,"Orange",75762,44.7879026658658,33.2540565922886,17.809640836563,1.65598197694408,49.4861783549413,12.2974379487536,16.1819697851133,37.3217116181349,10.7183469411508
"31",343554,167829,262970,43268,40,4587,20515,8602,24576,4905,4427,4751,4954,4893,5097,5480,5221,3778,9866,12304,18977,15130,10242,11401,9310,9567,66535,2011,"Placer",74645,76.5440076378095,12.5942355495788,5.97140478643823,1.33516128468887,48.8508356764875,2.50382763699448,5.29581737262804,36.8304807032305,7.15346059134809
