"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","medianinc","ed_LThighschool","ed_college","year","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","zip_code"
"1",54760,26996,465,49339,26.6,4943,59,22273,15327,875,1183,818,1271,1078,957,821,678,797,917,1323,1107,592,247,109,80,36386,15954,1148,2011,0.849159970781592,90.1004382761139,0.107742878013148,9.02666179693207,49.2987582176771,40.6738495252009,59.7349108881234,4.29833757675603,27.9894083272462,"90001"
"2",46509,22471,345,33232,25.2,12844,65,13947,15046,1580,1297,714,942,815,544,614,568,450,859,900,991,434,205,138,101,31810,10150,895,2011,0.741791911242985,71.4528370852953,0.139757896321142,27.6161603130577,48.3153798189598,29.9877443075534,49.2025788937903,4.33855252314703,32.3507278161216,"90002"
"3",66183,32017,765,48261,25.7,16596,115,23867,24974,2404,1895,1634,1290,1181,845,991,763,702,1229,1352,1045,429,206,132,53,28334,15749,1521,2011,1.15588595258601,72.9205385068673,0.173760633395283,25.0759258419836,48.3764712992762,36.062130758654,52.4093178036606,5.06156405990017,37.7347657253373,"90003"
"4",63932,32396,10641,32551,34.9,2075,17309,18838,14670,1490,1918,1872,2003,1609,1895,1479,1248,746,1671,1685,1828,1115,738,646,1185,37839,11014,11525,2011,16.6442470124507,50.9150347243947,27.0740787086279,3.2456359882375,50.6725896264781,29.4656822874304,28.8468086220895,30.1851706346088,22.9462553963586,"90004"
"5",41178,21558,2925,22426,33.7,2625,12845,13982,10197,1643,2000,1014,1104,1220,1457,1277,696,662,1441,1108,919,400,354,243,237,32955,8010,6329,2011,7.10330759143232,54.4611200155423,31.1938413716062,6.37476322308029,52.3531983097771,33.9550245276604,32.2567654639175,25.4872744845361,24.7632230802856,"90005"
"6",57912,30013,2094,43989,32.7,1910,9574,25867,18083,1681,2034,2030,1653,1807,1415,1593,870,623,1245,1512,904,248,263,131,98,29594,15481,4028,2011,3.61583091587236,75.9583506009117,16.5319795551872,3.29810747340793,51.825183036331,44.6660450338445,48.029908165798,12.4968974931745,31.2249620113275,"90006"
"7",42265,20972,7459,23388,23.5,4437,6309,11983,15435,2799,1390,1064,891,682,623,542,294,527,549,614,718,169,186,140,85,22049,7285,3232,2011,17.6481722465397,55.3365668993257,14.9272447651721,10.4980480302851,49.620253164557,28.35206435585,43.7065034797216,19.3904487640989,36.5195788477464,"90007"
"8",34429,15135,583,6171,38.7,25858,787,2362,8143,1648,1813,993,936,708,690,802,636,773,1277,1070,1505,763,288,398,318,37798,2850,4354,2011,1.69333991693049,17.9238432716605,2.2858636614482,75.1052891457783,43.9600336925267,6.86049551250399,15.9511949403929,24.368948340516,23.6515728019983,"90008"
"9",3229,1601,542,471,42,53,2027,300,646,243,155,42,56,113,35,40,96,60,161,270,78,130,30,68,106,50288,288,1156,2011,16.7853824713534,14.5865593062868,62.7748528956333,1.64137503871168,49.5819139052338,9.29080210591514,12.5709297250109,50.4583151462244,20.0061938680706,"90010"
"10",101523,51794,676,91184,27.1,8860,561,44300,41810,2276,2436,2477,1858,2038,1609,1283,1186,1018,1767,1978,1227,648,190,146,121,30118,31907,1633,2011,0.6658589679186,89.8161007850438,0.552584143494578,8.72708647301597,51.0170109236331,43.6354323650798,63.9290723301943,3.27188940092166,41.1827861666814,"90011"
"11",29298,17893,3907,8207,36.6,3385,13079,3296,7604,1406,1652,979,598,456,253,380,282,300,455,672,597,569,216,336,126,25028,6486,3737,2011,13.3353812546932,28.0121510000683,44.6412724418049,11.5536896716499,61.0724281520923,11.2499146699433,37.5825704021323,21.6537258083208,25.9539900334494,"90012"
"12",8216,4984,2396,1624,44.6,2726,1306,338,4082,1133,984,232,448,13,158,138,60,57,186,273,144,151,170,91,72,16284,1397,1672,2011,29.1626095423564,19.7663096397274,15.8958130477118,33.1791626095424,60.6621226874391,4.11392405063291,22.5796023921125,27.0244060126071,49.6835443037975,"90013"
"13",5204,3072,1638,998,46.6,1255,1186,304,2434,1291,884,316,109,82,29,183,188,62,82,64,278,0,24,75,48,12015,995,949,2011,31.4757878554958,19.1775557263643,22.7901614142967,24.1160645657187,59.0315142198309,5.84166026133743,26.5616657768286,25.3336892685531,46.771714066103,"90014"
"14",17957,9339,1640,13153,30.9,1017,2160,7462,6345,965,1175,704,425,433,468,357,313,121,270,265,464,256,158,160,230,25911,4462,1927,2011,9.13292866291697,73.2472016483822,12.0287353121345,5.66352954279668,52.0075736481595,41.5548254162722,46.2239718222314,19.9627058945406,35.3344099793952,"90015"
"15",46871,22290,1947,25191,33.4,18056,1240,10807,10053,2027,1426,1096,1209,1379,1003,1104,580,785,1166,1524,1807,674,481,236,216,35858,8242,3777,2011,4.15395447078151,53.745386272962,2.64555908770882,38.5227539416697,47.5560581169593,23.0569008555397,33.1750120753502,15.2028658831106,21.4482302489812,"90016"
