"","Application.Number","Current.Application.Status","Program.Administrator","Utility","Low.Income.Program.Type","Program","First.Reservation.Request.Review.Date","First.Confirmed.Reservation.Date","First.Incentive.Claim.Request.Review.Date","First.Completed.Date","Incentive.Amount","Total.System.Cost","Incentive.Design.Description","Nameplate.Rating..KW.","CEC.PTC.Rating..KW.","Design.Factor","Host.Customer.Physical.Address.City","Host.Customer.Physical.Address.County","Host.Customer.Physical.Address.State","Host.Customer.Physical.Address.Zip.Code","Solar.Contractor.Company","Third.Party.Owned"
"1","00048","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/17/2010","5/22/2011","8/16/2011","11/23/2011",9823,18762.19,"$4.75 AC",2.4,2.068,0.9925,"Oakland","Alameda","CA","94608","","no"
"2","00071","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","3/27/2009","5/5/2009","6/8/2009","6/25/2009",9433.5,13104.08,"$4.75 AC",2.4,1.986,0.99761,"Pleasanton","Alameda","CA","94566","","no"
"3","00097","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/6/2010","8/1/2011","10/31/2011","11/23/2011",10000,10363.85,"$5.25 AC",1.38,1.147,0.98745,"SAN FRANCISCO","San Francisco","CA","94124","","no"
"4","00177","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","4/1/2012","6/13/2012","10/17/2012","11/8/2012",20481.76,20481.76,"$7 AC",3.36,2.957,0.97472,"San Jose","Santa Clara","CA","95128","GRID Alternatives","no"
"5","00463","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/30/2010","9/14/2010","10/28/2010","11/12/2010",19866,20930.09,"$7.00 AC",3.22,2.838,0.97819,"Richmond","Contra Costa","CA","94804","","no"
"6","00545","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/22/2008","6/8/2009","9/28/2009","10/12/2009",10000,11550.32,"Subsidized 1kW AC",1.4,1.19,0.97758,"Marin City","Marin","CA","94965","","no"
"7","00548","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/4/2009","","12/31/2009","2/25/2010",32100.77,32100.77,"$7 AC",5.94,4.943,0.97483,"Riverside","Riverside","CA","92509","","no"
"8","00553","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","1/21/2011","11/4/2011","4/19/2012","4/25/2012",10609.77,10609.77,"$6 AC",2.115,1.821,0.86621,"Nevada City","Nevada","CA","95959","GRID Alternatives","no"
"9","00601","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","4/18/2009","8/1/2009","9/18/2009","9/24/2009",5310.5,9018.35,"$4.75 AC",1.36,1.118,0.96355,"Yountville","Napa","CA","94599","","no"
"10","00618","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","3/16/2009","6/17/2010","11/30/2010","12/30/2010",10000,11370.01,"Subsidized 1kW AC",1.33,1.088,0.95156,"Benicia","Solano","CA","94510","","no"
