"","year","county","SASH_sys_installed","total_sys_installed","pop","med_age","pov","inc_under10","inc_over200","ed_LThighschool","ed_college","county_medianinc","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","SASH_installations_share","SASH_install_rate_10000","total_install_rate_10000","inc_threshold","inc_under15","inc_under20","inc_under25","inc_under30","inc_under35","inc_under40","inc_under45","inc_under50","inc_under60","inc_under75","inc_under100","inc_under125","inc_under150","inc_under200","total_hh","eligible_hh","eligibilityshare"
"1",2011,"Alameda",24,1087,1494876,36.4,173156,27989,49439,103727,363477,70821,34.6214669310364,22.2160901640002,26.1979588942494,12.464311421148,49.0540352510844,7.62237135387818,12.2832924391561,43.0427399414534,11.5833018925984,0.0220791168353266,0.160548433448661,7.27150613161225,56656.8,53919,75323,97829,117576,137755,156597,175739,194266,231436,281305,347629,401466,439566,486721,536160,219009.3256,0.408477554461355
"2",2011,"Amador",0,38,38244,48,3372,658,376,2575,3868,56180,79.9837883066625,12.2293693128334,1.38322351218492,2.27486664574835,54.5445037130007,1.40152703692082,12.0597602098164,18.1153990258524,8.81706934421086,0,0,9.93619914234913,44944,1280,2152,2804,3611,4281,4915,5651,6312,7521,8907,11022,12183,13093,13907,14283,5642.7568,0.395068038927396
"3",2011,"Butte",0,195,219309,37.2,42283,6280,1614,13331,26442,42971,75.4784345375703,13.8963745217935,4.2132333830349,1.52889302308615,49.4466711352475,3.50737999808489,12.5581702055504,24.9090943346459,19.2801025037732,0,0,8.89156395770351,34376.8,12781,18536,24893,30506,35394,40050,44213,47869,55237,63108,72499,78266,80803,83605,85219,34784.75968,0.408180800995083
"4",2011,"Calaveras",0,77,45794,49,3751,966,498,1554,4995,55256,83.5742673712713,10.237148971481,1.31239900423636,1.08311132462768,49.921387081277,1.38009346202559,6.40164778578785,20.5767250257467,8.19102939249683,0,0,16.81442983797,44204.8,2057,2973,3906,4979,5753,6636,7719,8476,9962,11989,14626,16480,17496,18367,18865,7546.75968,0.400040269281739
"5",2011,"Colusa",0,13,21297,33.5,3029,295,181,3082,1370,49558,41.0151664553693,53.8103958303986,1.18326524862657,0.953185894726957,51.6035122317697,21.1579095647274,29.3719622605547,13.0563232631278,14.2226604686106,0,0,6.10414612386721,39646.4,853,1208,1660,2098,2541,2891,3213,3524,4232,4902,5777,6342,6593,6808,6989,2866.248,0.410108456145371
"6",2011,"Contra Costa",35,1057,1037817,38.3,101562,14639,41210,60809,222470,79135,48.5350500136344,23.9048888195125,14.2556924775755,9.13282399498177,48.8140009269457,7.5336017814316,10.7652270896586,39.3846317261647,9.78611836190773,0.033112582781457,0.337246354607797,10.1848399091555,63308,28722,41298,53254,66659,79973,92911,105932,118162,143273,177376,224656,264866,293584,329715,370925,150793.848266667,0.406534604749388
"7",2011,"Del Norte",0,2,28561,38.9,5313,709,194,3176,2119,37588,65.4879030846259,17.5168936661882,3.11963866811386,3.28069745457092,54.9280487377893,2.39837540702356,20.3550599243735,13.5807216560918,18.6022898357901,0,0,0.700255593291551,30070.4,1885,2628,3384,3953,4686,5074,5423,5850,6580,7702,8655,9246,9517,9624,9818,3963.32064,0.403679022204115
"8",2011,"El Dorado",0,346,179878,43.1,15010,2612,4793,6378,31717,68815,80.3639133190273,11.7979964197956,3.48013653698618,0.759959528124618,50.0650440854357,3.00036691535374,6.40741001195487,31.8632523281864,8.34454463580871,0,0,19.2352594536297,55052,4845,7156,9980,12796,16178,18737,21410,24422,30011,37080,46708,53887,58608,64019,68812,27245.5628,0.395942027553334
"9",2011,"Fresno",74,1203,920623,30.6,211140,20513,8658,116049,88592,46903,33.2805067872517,49.7564149494418,9.47999343922539,5.05331715588248,49.9787643802077,13.7206000719078,26.0104490959582,19.856420187241,22.9344693756293,0.0615128844555278,0.803803511317879,13.0672381637217,37522.4,41019,59297,78304,93812,110177,124165,137865,150135,172569,199693,232272,252928,265800,276680,285338,117233.66624,0.410858933054833
"10",2011,"Glenn",0,41,28027,35.3,5166,502,307,3479,2183,43239,56.5204980911264,36.6432368787241,2.30135226745638,0.931244871017233,50.4085346273237,12.3523744960217,25.0973885442216,15.7480882989468,18.4322260677204,0,0,14.6287508473972,34591.2,1325,2005,2808,3481,3963,4457,4969,5407,6159,7057,8177,8720,9002,9176,9483,3923.59168,0.4137500453443
