"","year","county","zip_code","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share","county_medianinc","pop","med_age","pov","inc_under10","inc_over200","medianinc","ed_LThighschool","ed_college","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","SASH_install_rate_10000","total_install_rate_10000","inc_threshold","inc_under15","inc_under20","inc_under25","inc_under30","inc_under35","inc_under40","inc_under45","inc_under50","inc_under60","inc_under75","inc_under100","inc_under125","inc_under150","inc_under200","total_hh","eligible_hh","eligibilityshare"
"1",2011,"Alameda","94502",0,0,0,0,0,0,NA,70821,13140,46,572,102,779,113650,429,4624,40.441400304414,5.220700152207,45.5631659056317,2.96803652968037,48.3409436834094,1.03500761035008,5.81773799837266,62.7068077027394,4.3531202435312,0,0,56656.8,199,252,327,463,547,715,727,849,1035,1510,2141,2806,3255,4096,4875,972.81648,0.199552098461538
"2",2011,"Alameda","94536",0,0,0,0,40,0,0,70821,66617,37.5,3663,816,2240,84840,3275,18135,35.3678490475404,18.322650374529,37.1556809823318,4.28569284116667,50.4615938874461,4.35774652115826,8.54021070199228,47.2906018566809,5.4985964543585,0,6.00447333263281,56656.8,1185,1654,2609,3333,4240,5056,5821,6363,8003,10241,13397,16141,18228,20954,23194,7454.7152,0.321407053548331
"3",2011,"Alameda","94538",2,2.555,14485,14880.6,18,2.555,0.111111111111111,70821,60461,34.6,3771,611,958,81408,3908,14799,29.0005127272126,25.9588825854683,36.8286994922347,3.66351863184532,49.9660938456195,8.04154744380675,10.9363631275536,41.4143392847148,6.23707844726353,0.330791750053754,2.97712575048378,56656.8,1159,1633,2138,2557,3210,3702,4406,5055,6711,9156,12016,15039,16699,18752,19710,6157.36608,0.312398076103501
"4",2011,"Alameda","94539",0,0,0,0,67,0,0,70821,51021,40.5,1885,295,4170,138578,934,20946,21.6165892475647,4.20807118637424,68.9755198839694,1.4484231982909,49.7246231943709,0.311636385017934,3.24058011241413,72.6736520713344,3.69455714313714,0,13.131847670567,56656.8,506,772,1014,1206,1482,1678,1907,2157,2697,3527,4819,6655,8570,11403,15573,2516.4672,0.161591677904065
"5",2011,"Alameda","94541",0,0,0,0,13,0,0,70821,59173,34.7,9003,1162,748,54943,6738,7280,22.6167339834046,44.4374968313251,13.8627414530276,13.9742788095922,49.4583678366823,16.1712267419262,20.1754648621134,21.7983651226158,15.214709411387,0,2.196947932334,56656.8,2215,3095,4020,5081,5921,7002,7948,8944,10500,13165,15676,17222,18214,19076,19824,9979.79808,0.50342
"6",2011,"Alameda","94542",0,0,0,0,31,0,0,70821,12534,35.4,1837,459,573,84649,498,3501,36.0140418062869,20.5441199936174,21.3499281953088,14.3210467528323,49.6649114408808,5.55289612254667,6.79585152838428,47.7756550218341,14.6561353119515,0,24.7327269826073,56656.8,524,623,751,941,1048,1122,1209,1300,1671,1978,2479,2984,3358,3846,4419,1546.96728,0.350071799049559
"7",2011,"Alameda","94544",0,0,0,0,11,0,0,70821,74499,31.6,10004,964,678,61291,8780,7942,17.5586249479859,45.0945650277185,20.2687284393079,10.1987946146928,49.5711351830226,17.9720533161519,22.039812234857,19.9362401787283,13.4283681660156,0,1.4765298863072,56656.8,1932,2701,3719,4594,5691,6626,7718,8697,10502,13458,16541,18697,19800,20925,21603,9898.5524,0.458202675554321
"8",2011,"Alameda","94545",0,0,0,0,7,0,0,70821,28935,36.7,2011,236,373,67975,2813,4248,14.2560912389839,30.6410921029895,38.8422325902886,9.77017452911699,49.1999308795576,9.96371176775531,17.71633707016,26.7539992442373,6.95006048038707,0,2.41921548297909,56656.8,685,985,1371,1631,1889,2187,2542,3066,3715,4788,5995,7198,7813,8427,8800,3498.02632,0.397502990909091
"9",2011,"Alameda","94546",0,0,0,0,31,0,0,70821,42100,41.7,3698,556,1077,72128,1435,8574,54.5605700712589,19.0427553444181,16.5011876484561,6.20190023752969,47.4608076009501,3.43705463182898,6.21804315798596,37.152266227576,8.78384798099762,0,7.36342042755344,56656.8,1272,1684,2326,2841,3496,4230,4998,5579,6725,8397,10301,11956,13004,14862,15939,6341.86928,0.397883761842023
"10",2011,"Alameda","94550",0,0,0,0,139,0,0,70821,45154,40.8,2247,309,2251,101448,1251,10036,72.0290561190592,14.5435620321566,8.71019178810294,1.41294237498339,48.6977897860655,3.2112326704168,4.96743964421855,39.8506988564168,4.97630331753555,0,30.7835407715817,56656.8,748,1216,1710,2008,2404,2950,3349,3698,4525,5637,8154,9999,11791,14203,16454,4248.51736,0.258205746930837
"11",2011,"Alameda","94551",0,0,0,0,45,0,0,70821,36815,37.1,2588,249,1362,93427,2084,7556,59.5137851419258,23.6561184299878,11.8538639141654,2.30340893657477,51.8837430395219,7.76314002444656,9.84040041552555,35.6785343280763,7.02974331115035,0,12.2232785549368,56656.8,708,1038,1518,1952,2184,2392,2668,2917,3726,4856,7092,8758,9912,11582,12944,3455.53512,0.266960377008653
"12",2011,"Alameda","94552",0,0,0,0,30,0,0,70821,14568,43.3,225,0,1285,134256,353,5050,43.0052169137836,8.09308072487644,39.9299835255354,4.72954420647996,49.9588138385502,1.66117517847337,4.18395164157876,59.8553988384497,1.54448105436573,0,20.5930807248764,56656.8,49,117,127,218,389,541,640,714,822,1182,1836,2277,2858,3640,4925,785.89344,0.159572272081218
"13",2011,"Alameda","94555",0,0,0,0,10,0,0,70821,33656,36.7,1970,324,1481,108791,1080,12090,21.9009983361065,7.61231281198003,63.8073449013549,3.31590206798194,51.0369622058474,1.09935821250297,5.46946216955333,61.2275903980553,5.85333967197528,0,2.97123841217019,56656.8,537,774,1111,1339,1484,1618,1861,2080,2615,3750,5024,6557,7828,9638,11119,2436.1388,0.219096933177444
