"","zip_code","year","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share"
"1","90001","2013",1,3.06,16705,16705,11,6.64845454545455,0.0909090909090909
"2","90001","2015",2,2.715,9333.395,14084.645,29,4.35875675585327,0.0689655172413793
"3","90002","2010",2,2.53,15417.5,18195.16,4,2.24784051888592,0.5
"4","90002","2011",12,3.24583333333333,18549.1191666667,18977.6491666667,13,3.12,0.923076923076923
"5","90002","2012",5,2.346,12821.068,13571.792,6,3.435,0.833333333333333
"6","90002","2013",1,3.99,16433.98,16433.98,8,3.1105,0.125
"7","90002","2015",2,2.765,13132.475,13260.145,35,4.10543308088005,0.0571428571428571
"8","90022","2011",12,2.482,14887.7575,18875.7241666667,14,2.29636899765629,0.857142857142857
"9","90022","2012",7,2.74285714285714,14425.1428571429,20277.7357142857,7,8.55142857142857,1
"10","90022","2013",1,3.185,16800,17639.8,5,3.047,0.2
"11","90022","2014",8,3.138125,17312.025,17341.36,9,3.95611111111111,0.888888888888889
"12","90022","2015",3,3.18666666666667,12967.8833333333,17867.6133333333,10,3.53569275359656,0.3
"13","90022","2016",1,3,11285.88,16535.88,36,4.04960159065589,0.0277777777777778
"14","90023","2011",2,2.435,13943.25,17120.59,1,2.07,2
"15","90023","2012",2,4.85,28624.25,31094.835,2,4.85,1
"16","90023","2013",1,2.94,17449.44,17449.44,4,2.78625,0.25
"17","90023","2014",1,3.5,21787.3,21787.3,6,4.466,0.166666666666667
"18","90044","2012",1,5.52,24233.85,24423.85,2,3.525,0.5
"19","90044","2014",2,3.9025,16146.425,16146.425,32,3.71361466281953,0.0625
"20","90047","2014",1,3.43,17820,17883.2,24,3.28450027025308,0.0416666666666667
"21","90047","2015",3,2.44333333333333,7119.42333333333,11395.2566666667,47,3.82206575203947,0.0638297872340425
"22","90059","2010",1,2.52,13673.82,16362.28,NA,NA,NA
"23","90059","2011",9,2.81222222222222,15116.9988888889,16276.3088888889,10,2.78151659671881,0.9
"24","90059","2012",3,3.08833333333333,17481.8633333333,17481.8633333333,13,3.83815384615385,0.230769230769231
"25","90059","2013",30,3.65603333333333,19753.652,20429.4313333333,26,3.47010029935726,1.15384615384615
"26","90059","2014",5,3.383,17370.866,17370.866,12,3.66844127559456,0.416666666666667
"27","90059","2015",2,3.76,13030.045,19610.045,29,4.05750579815063,0.0689655172413793
